,y,Value
385,y386,0.0029727261873004496
386,y387,0.002438656193224562
387,y388,0.0024302315637070014
388,y389,0.002370569987006621
389,y390,0.0029251182102486427
390,y391,0.0032371022297061096
391,y392,0.0032456209097434406
392,y393,0.003646615352244245
393,y394,0.0034379375657789986
394,y395,0.0034779732854448952
395,y396,0.00307672870123852
396,y397,0.0036720036635629672
397,y398,0.0031917907874801053
398,y399,0.0033334840017505054
399,y400,0.0030752478306658236
